"Date and Time (UTC)","Receiver","Transmitter","Transmitter Name","Transmitter Serial","Sensor Value","Sensor Unit","Station Name","Latitude","Longitude"
2018-07-15 16:43:55,"VR2W-132373","A69-9006-15757",NA,1276056,17.5855,"m",NA,NA,NA
2018-07-15 16:46:10,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 16:47:55,"VR2W-132373","A69-9006-15757",NA,1276056,14.8567,"m",NA,NA,NA
2018-07-15 16:50:00,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 16:52:44,"VR2W-132373","A69-9006-15757",NA,1276056,14.2503,"m",NA,NA,NA
2018-07-15 16:55:26,"VR2W-132373","A69-9006-15756",NA,1276056,5.0416,"°C",NA,NA,NA
2018-07-15 16:58:05,"VR2W-132373","A69-9006-15757",NA,1276056,17.5855,"m",NA,NA,NA
2018-07-15 17:00:39,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 17:03:00,"VR2W-132373","A69-9006-15757",NA,1276056,17.2823,"m",NA,NA,NA
2018-07-15 17:04:58,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 17:07:28,"VR2W-132373","A69-9006-15757",NA,1276056,17.8887,"m",NA,NA,NA
2018-07-15 17:09:42,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 17:11:26,"VR2W-132373","A69-9006-15757",NA,1276056,17.8887,"m",NA,NA,NA
2018-07-15 17:13:28,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 17:16:05,"VR2W-132373","A69-9006-15757",NA,1276056,17.5855,"m",NA,NA,NA
2018-07-15 17:18:33,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 17:20:45,"VR2W-132373","A69-9006-15757",NA,1276056,18.7983,"m",NA,NA,NA
2018-07-15 17:24:13,"VR2W-132373","A69-9006-15757",NA,1276056,18.7983,"m",NA,NA,NA
2018-07-15 17:26:29,"VR2W-132373","A69-9006-15756",NA,1276056,4.8847,"°C",NA,NA,NA
2018-07-15 17:28:15,"VR2W-132373","A69-9006-15757",NA,1276056,18.4951,"m",NA,NA,NA
2018-07-15 17:30:21,"VR2W-132373","A69-9006-15756",NA,1276056,4.7278,"°C",NA,NA,NA
2018-07-15 17:33:14,"VR2W-132373","A69-9006-15756",NA,1276056,4.7278,"°C",NA,NA,NA
2018-07-15 17:34:42,"VR2W-132373","A69-9006-15757",NA,1276056,18.1919,"m",NA,NA,NA
2018-07-15 17:36:13,"VR2W-132373","A69-9006-15756",NA,1276056,4.7278,"°C",NA,NA,NA
